dataset,time,Group
CorelAfrican,0.571494975,1
CorelDinosaurs,0.44517982,3
CorelBeach,0.441315536,3
CorelDesserts,0.437415643,1
CorelCars,0.435229621,3
CorelAntique,0.434843812,1
CorelBuses,0.429371262,3
CorelFashion,0.427808876,1
CorelBattleships,0.424371758,3
CorelDogs,0.418433418,1
CorelElephants,0.41812181,3
CorelWaterfalls,0.40225544,1
CorelHorses,0.359778833,3
CorelSkiing,0.353217859,1
CorelSunset,0.350993037,3
CorelMountains,0.349483457,1
CorelLizards,0.34683332,3
CorelHistorical,0.344603825,1
CorelFood,0.333510265,3
CorelFlowers,0.332941127,1
